sentid	pairid	contextid	lemma	condition	comparison	sentence	ROI
61	31	1	boiled	overt_object	unexpected	While the woman decorated the pot boiled on the stove	6
62	31	1	boiled	overt_object	expected	While the woman decorated the kitchen the pot boiled on the stove	8
63	32	1	boiled	overt_object	unexpected	While the woman decorated , the pot boiled on the stove	7
64	32	1	boiled	overt_object	expected	While the woman decorated the kitchen , the pot boiled on the stove	9
65	33	1	changed	overt_object	unexpected	When the customer interrupted the manager changed the advertisement	6
66	33	1	changed	overt_object	expected	When the customer interrupted the clerk the manager changed the advertisement	8
67	34	1	changed	overt_object	unexpected	When the customer interrupted , the manager changed the advertisement	7
68	34	1	changed	overt_object	expected	When the customer interrupted the clerk , the manager changed the advertisement	9
69	35	1	fell	overt_object	unexpected	As the bachelor smoked the pipe fell to the floor	6
70	35	1	fell	overt_object	expected	As the bachelor smoked the cigarette the pipe fell to the floor	8
71	36	1	fell	overt_object	unexpected	As the bachelor smoked , the pipe fell to the floor	7
72	36	1	fell	overt_object	expected	As the bachelor smoked the cigarette , the pipe fell to the floor	9
73	37	1	refused	overt_object	unexpected	While the prisoners heckled the guards refused to negotiate	6
74	37	1	refused	overt_object	expected	While the prisoners heckled the warden the guards refused to negotiate	8
75	38	1	refused	overt_object	unexpected	While the prisoners heckled , the guards refused to negotiate	7
76	38	1	refused	overt_object	expected	While the prisoners heckled the warden , the guards refused to negotiate	9
77	39	1	feared	overt_object	unexpected	As long as the king governed his subjects feared his wrath	8
78	39	1	feared	overt_object	expected	As long as the king governed his realm his subjects feared his wrath	10
79	40	1	feared	overt_object	unexpected	As long as the king governed , his subjects feared his wrath	9
80	40	1	feared	overt_object	expected	As long as the king governed his realm , his subjects feared his wrath	11
81	41	1	became	overt_object	unexpected	After the host interrupted the discussion became more interesting	6
82	41	1	became	overt_object	expected	After the host interrupted the speaker the discussion became more interesting	8
83	42	1	became	overt_object	unexpected	After the host interrupted , the discussion became more interesting	7
84	42	1	became	overt_object	expected	After the host interrupted the speaker , the discussion became more interesting	9
85	43	1	thought	overt_object	unexpected	After the woman dressed her children thought she looked lovely	6
86	43	1	thought	overt_object	expected	After the woman dressed the doll her children thought she looked lovely	8
87	44	1	thought	overt_object	unexpected	After the woman dressed , her children thought she looked lovely	7
88	44	1	thought	overt_object	expected	After the woman dressed the doll , her children thought she looked lovely	9
89	45	1	ordered	overt_object	unexpected	After the soldier saluted the doctor ordered it to stop	6
90	45	1	ordered	overt_object	expected	After the soldier saluted the general the doctor ordered it to stop	8
91	46	1	ordered	overt_object	unexpected	After the soldier saluted , the doctor ordered it to stop	7
92	46	1	ordered	overt_object	expected	After the soldier saluted the general , the doctor ordered it to stop	9
93	47	1	grabbed	overt_object	unexpected	As the guard bluffed the thieves grabbed the money	6
94	47	1	grabbed	overt_object	expected	As the guard bluffed in poker the thieves grabbed the money	8
95	48	1	grabbed	overt_object	unexpected	As the guard bluffed , the thieves grabbed the money	7
96	48	1	grabbed	overt_object	expected	As the guard bluffed in poker , the thieves grabbed the money	9
