sentid	pairid	contextid	lemma	condition	comparison	sentence	ROI
57	29	1	remain	MVRR	unexpected	The men discussed in the neighborhood died from cancer	6
58	29	1	remain	MVRR	expected	The men who were discussed in the neighborhood died from cancer	6
59	30	1	remain	MVRR	unexpected	The man known in the neighborhood died from cancer	6
60	30	1	remain	MVRR	expected	The man who was known in the neighborhood died from cancer	6
61	31	1	remain	MVRR	unexpected	The child jumped past the swings was upset about it	6
62	31	1	remain	MVRR	expected	The child who was jumped past the swings was upset about it	6
63	32	1	remain	MVRR	unexpected	The child led past the swings was upset about it	6
64	32	1	remain	MVRR	expected	The child who was led past the swings was upset about it	6
65	33	1	remain	MVRR	unexpected	The students prepared a fancy dinner ate the meal quickly	6
66	33	1	remain	MVRR	expected	The students who were prepared a fancy dinner ate the meal quickly	6
67	34	1	remain	MVRR	unexpected	The students gotten a fancy dinner ate the meal quickly	6
68	34	1	remain	MVRR	expected	The students who were gotten a fancy dinner ate the meal quickly	6
69	35	1	remain	MVRR	unexpected	The infant fed during the night yelled intensely	6
70	35	1	remain	MVRR	expected	The infant that was fed during the night yelled intensely	6
71	36	1	remain	MVRR	unexpected	The infant aroused during the night yelled intensely	6
72	36	1	remain	MVRR	expected	The infant that was aroused during the night yelled intensely	6
73	37	1	remain	MVRR	unexpected	The refugee sheltered in the basement departed during the night	6
74	37	1	remain	MVRR	expected	The refugee who was sheltered in the basement departed during the night	6
75	38	1	remain	MVRR	unexpected	The refugee hidden in the basement departed during the night	6
76	38	1	remain	MVRR	expected	The refugee who was hidden in the basement departed during the night	6
77	39	1	remain	MVRR	unexpected	The dog walked on the beach chased after a bird	6
78	39	1	remain	MVRR	expected	The dog that was walked on the beach chased after a bird	6
79	40	1	remain	MVRR	unexpected	The dog seen on the beach chased after a bird	6
80	40	1	remain	MVRR	expected	The dog that was seen on the beach chased after a bird	6
81	41	1	remain	MVRR	unexpected	The ship steered off course sank in the storm	6
82	41	1	remain	MVRR	expected	The ship that was steered off course sank in the storm	6
83	42	1	remain	MVRR	unexpected	The ship blown off course sank in the storm	6
84	42	1	remain	MVRR	expected	The ship that was blown off course sank in the storm	6
85	43	1	remain	MVRR	unexpected	The fans cheered at the concert took photos with their phones	6
86	43	1	remain	MVRR	expected	The fans that were cheered at the concert took photos with their phones	6
87	44	1	remain	MVRR	unexpected	The fans emboldened at the concert took photos with their phones	6
88	44	1	remain	MVRR	expected	The fans that were emboldened at the concert took photos with their phones	6
89	45	1	remain	MVRR	unexpected	The boat steered to the sea disappeared in the storm	6
90	45	1	remain	MVRR	expected	The boat that was steered in the sea disappeared in the storm	6
91	46	1	remain	MVRR	unexpected	The boat sunk in the sea disappeared in the storm	6
92	46	1	remain	MVRR	expected	The boat that was sunk in the sea disappeared in the storm	6
93	47	1	remain	MVRR	unexpected	The couple bought the apartment moved to a different city	6
94	47	1	remain	MVRR	expected	The couple that was bought the apartment moved to a different city	6
95	48	1	remain	MVRR	unexpected	The couple shown the apartment moved to a different city	6
96	48	1	remain	MVRR	expected	The couple that was shown the apartment moved to a different city	6
97	49	1	remain	MVRR	unexpected	The girl made a new blanket lost it during the trip	6
98	49	1	remain	MVRR	expected	The girl who was made a new blanket lost it during the trip	6
99	50	1	remain	MVRR	unexpected	The girl given a new blanket lost it during the trip	6
100	50	1	remain	MVRR	expected	The girl who was given a new blanket lost it during the trip	6
101	51	1	remain	MVRR	unexpected	The airplane landed in the mountains broke down during the ice storm	6
102	51	1	remain	MVRR	expected	The airplane that was landed in the mountains broke down during the ice storm	6
103	52	1	remain	MVRR	unexpected	The airplane flown in the mountains broke down during the ice storm	6
104	52	1	remain	MVRR	expected	The airplane that was flown in the mountains broke down during the ice storm	6
105	53	1	remain	MVRR	unexpected	The child carried down the hall yelled at the top of his lungs	6
106	53	1	remain	MVRR	expected	The child that was carried down the hall yelled at the top of his lungs	6
107	54	1	remain	MVRR	unexpected	The child borne down the hall yelled at the top of his lungs	6
108	54	1	remain	MVRR	expected	The child that was borne down the hall yelled at the top of his lungs	6
