sentid	pairid	contextid	lemma	condition	comparison	sentence	ROI
30	15	1	gobbled	overt_object	expected	While the students gobbled the food the desserts were removed	4
31	16	1	gobbled	overt_object	unexpected	While the students gobbled , the desserts were removed	4
32	16	1	gobbled	overt_object	expected	While the students gobbled the food , the desserts were removed	4
33	17	1	taught	overt_object	unexpected	When the instructor taught the visitors lost interest	4
34	17	1	taught	overt_object	expected	When the instructor taught the students the visitors lost interest	4
35	18	1	taught	overt_object	unexpected	When the instructor taught , the visitors lost interest	4
36	18	1	taught	overt_object	expected	When the instructor taught the students , the visitors lost interest	4
37	19	1	baby	overt_object	unexpected	Because the crying baby clutched the woman stayed until the end	4
38	19	1	baby	overt_object	expected	Because the crying baby clutched the blanked the woman stayed until the end	4
39	20	1	baby	overt_object	unexpected	Because the crying baby clutched , the woman stayed until the end	4
40	20	1	baby	overt_object	expected	Because the crying baby clutched the blanked , the woman stayed until the end	4
41	21	1	booed	overt_object	unexpected	Although the manager booed the comedian began his act	4
42	21	1	booed	overt_object	expected	Although the manager booed the opener the comedian began his act	4
43	22	1	booed	overt_object	unexpected	Although the manager booed , the comedian began his act	4
44	22	1	booed	overt_object	expected	Although the manager booed the opener , the comedian began his act	4
45	23	1	asked	overt_object	unexpected	After the patient asked the nurse told her the news	4
46	23	1	asked	overt_object	expected	After the patient asked for medicine the nurse told her the news	4
47	24	1	asked	overt_object	unexpected	After the patient asked , the nurse told her the news	4
48	24	1	asked	overt_object	expected	After the patient asked for medicine , the nurse told her the news	4
49	25	1	visited	overt_object	unexpected	After the lifeguard visited the swimmers jumped into the pond	4
50	25	1	visited	overt_object	expected	After the lifeguard visited the children the swimmers jumped into the pond	4
51	26	1	visited	overt_object	unexpected	After the lifeguard visited , the swimmers jumped into the pond	4
52	26	1	visited	overt_object	expected	After the lifeguard visited the children , the swimmers jumped into the pond	4
53	27	1	woke	overt_object	unexpected	After the rooster woke the farmer went to the hen house	4
54	27	1	woke	overt_object	expected	After the rooster woke the family the farmer went to the hen house	4
55	28	1	woke	overt_object	unexpected	After the rooster woke , the farmer went to the hen house	4
56	28	1	woke	overt_object	expected	After the rooster woke the family , the farmer went to the hen house	4
57	29	1	contemplated	overt_object	unexpected	As the class contemplated the teacher asked a question	4
58	29	1	contemplated	overt_object	expected	As the class contemplated the problem the teacher asked a question	4
59	30	1	contemplated	overt_object	unexpected	As the class contemplated , the teacher asked a question	4
60	30	1	contemplated	overt_object	expected	As the class contemplated the problem , the teacher asked a question	4
61	31	1	decorated	overt_object	unexpected	While the woman decorated the pot boiled on the stove	4
62	31	1	decorated	overt_object	expected	While the woman decorated the kitchen the pot boiled on the stove	4
63	32	1	decorated	overt_object	unexpected	While the woman decorated , the pot boiled on the stove	4
64	32	1	decorated	overt_object	expected	While the woman decorated the kitchen , the pot boiled on the stove	4
65	33	1	interrupted	overt_object	unexpected	When the customer interrupted the manager changed the advertisement	4
66	33	1	interrupted	overt_object	expected	When the customer interrupted the clerk the manager changed the advertisement	4
67	34	1	interrupted	overt_object	unexpected	When the customer interrupted , the manager changed the advertisement	4
68	34	1	interrupted	overt_object	expected	When the customer interrupted the clerk , the manager changed the advertisement	4
69	35	1	smoked	overt_object	unexpected	As the bachelor smoked the pipe fell to the floor	4
70	35	1	smoked	overt_object	expected	As the bachelor smoked the cigarette the pipe fell to the floor	4
71	36	1	smoked	overt_object	unexpected	As the bachelor smoked , the pipe fell to the floor	4
72	36	1	smoked	overt_object	expected	As the bachelor smoked the cigarette , the pipe fell to the floor	4
73	37	1	heckled	overt_object	unexpected	While the prisoners heckled the guards refused to negotiate	4
74	37	1	heckled	overt_object	expected	While the prisoners heckled the warden the guards refused to negotiate	4
75	38	1	heckled	overt_object	unexpected	While the prisoners heckled , the guards refused to negotiate	4
76	38	1	heckled	overt_object	expected	While the prisoners heckled the warden , the guards refused to negotiate	4
77	39	1	the	overt_object	unexpected	As long as the king governed his subjects feared his wrath	4
78	39	1	the	overt_object	expected	As long as the king governed his realm his subjects feared his wrath	4
79	40	1	the	overt_object	unexpected	As long as the king governed , his subjects feared his wrath	4
80	40	1	the	overt_object	expected	As long as the king governed his realm , his subjects feared his wrath	4
81	41	1	interrupted	overt_object	unexpected	After the host interrupted the discussion became more interesting	4
82	41	1	interrupted	overt_object	expected	After the host interrupted the speaker the discussion became more interesting	4
83	42	1	interrupted	overt_object	unexpected	After the host interrupted , the discussion became more interesting	4
84	42	1	interrupted	overt_object	expected	After the host interrupted the speaker , the discussion became more interesting	4
85	43	1	dressed	overt_object	unexpected	After the woman dressed her children thought she looked lovely	4
86	43	1	dressed	overt_object	expected	After the woman dressed the doll her children thought she looked lovely	4
87	44	1	dressed	overt_object	unexpected	After the woman dressed , her children thought she looked lovely	4
88	44	1	dressed	overt_object	expected	After the woman dressed the doll , her children thought she looked lovely	4
89	45	1	saluted	overt_object	unexpected	After the soldier saluted the doctor ordered it to stop	4
90	45	1	saluted	overt_object	expected	After the soldier saluted the general the doctor ordered it to stop	4
91	46	1	saluted	overt_object	unexpected	After the soldier saluted , the doctor ordered it to stop	4
92	46	1	saluted	overt_object	expected	After the soldier saluted the general , the doctor ordered it to stop	4
93	47	1	bluffed	overt_object	unexpected	As the guard bluffed the thieves grabbed the money	4
94	47	1	bluffed	overt_object	expected	As the guard bluffed in poker the thieves grabbed the money	4
95	48	1	bluffed	overt_object	unexpected	As the guard bluffed , the thieves grabbed the money	4
96	48	1	bluffed	overt_object	expected	As the guard bluffed in poker , the thieves grabbed the money	4
